Country,Purpose,Count,Proportion 
Algeria,Communication,1,0.2
Algeria,Earth Observation/Science,3,0.6
Algeria,Other,0,0
Algeria,Navigation/Technology,1,0.2
Algeria,Space Observation/Science,0,0
Algeria,Surveillance,0,0
Argentina,Communication,6,0.214
Argentina,Earth Observation/Science,20,0.714
Argentina,Other,0,0
Argentina,Navigation/Technology,2,0.071
Argentina,Space Observation/Science,0,0
Argentina,Surveillance,0,0
Australia,Communication,8,0.615
Australia,Earth Observation/Science,0,0
Australia,Other,0,0
Australia,Navigation/Technology,5,0.385
Australia,Space Observation/Science,0,0
Australia,Surveillance,0,0
Austria,Communication,0,0
Austria,Earth Observation/Science,0,0
Austria,Other,0,0
Austria,Navigation/Technology,2,1
Austria,Space Observation/Science,0,0
Austria,Surveillance,0,0
Azerbaijan,Communication,2,1
Azerbaijan,Earth Observation/Science,0,0
Azerbaijan,Other,0,0
Azerbaijan,Navigation/Technology,0,0
Azerbaijan,Space Observation/Science,0,0
Azerbaijan,Surveillance,0,0
Bangladesh,Communication,1,1
Bangladesh,Earth Observation/Science,0,0
Bangladesh,Other,0,0
Bangladesh,Navigation/Technology,0,0
Bangladesh,Space Observation/Science,0,0
Bangladesh,Surveillance,0,0
Belarus,Communication,1,0.5
Belarus,Earth Observation/Science,1,0.5
Belarus,Other,0,0
Belarus,Navigation/Technology,0,0
Belarus,Space Observation/Science,0,0
Belarus,Surveillance,0,0
Belgium,Communication,0,0
Belgium,Earth Observation/Science,0,0
Belgium,Other,0,0
Belgium,Navigation/Technology,0,0
Belgium,Space Observation/Science,1,1
Belgium,Surveillance,0,0
Bolivia,Communication,1,1
Bolivia,Earth Observation/Science,0,0
Bolivia,Other,0,0
Bolivia,Navigation/Technology,0,0
Bolivia,Space Observation/Science,0,0
Bolivia,Surveillance,0,0
Brazil,Communication,8,0.727
Brazil,Earth Observation/Science,2,0.182
Brazil,Other,1,0.091
Brazil,Navigation/Technology,0,0
Brazil,Space Observation/Science,0,0
Brazil,Surveillance,0,0
Bulgaria,Communication,1,1
Bulgaria,Earth Observation/Science,0,0
Bulgaria,Other,0,0
Bulgaria,Navigation/Technology,0,0
Bulgaria,Space Observation/Science,0,0
Bulgaria,Surveillance,0,0
Canada,Communication,26,0.605
Canada,Earth Observation/Science,8,0.186
Canada,Other,0,0
Canada,Navigation/Technology,4,0.093
Canada,Space Observation/Science,5,0.116
Canada,Surveillance,0,0
Chile,Communication,0,0
Chile,Earth Observation/Science,1,1
Chile,Other,0,0
Chile,Navigation/Technology,0,0
Chile,Space Observation/Science,0,0
Chile,Surveillance,0,0
China,Communication,53,0.131
China,Earth Observation/Science,203,0.501
China,Other,0,0
