,X1,X1_1,Name,Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee_km,Apogee_km,Eccentricity,Inclination (degrees),Period (minutes),Launch,Dry,Power (watts),Date,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,launch_date,launch_year,Launch Year
1,1,1,1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT,NR (12/20),USA,Hera Systems,Commercial,Earth Observation/Science,Technology Development,LEO,Non-Polar Inclined,0,566,576,0.00072,36.9,96.08,22,NA,NA,12/11/19,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859,Pathfinder for planned earth observation constellation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/11/19,2019,2019
2,2,2,3Cat-1,3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Navigation/Technology,NA,LEO,NA,0,476,500,0.00175,97.4,95,4,NA,NA,11/29/18,NA,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Student built.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/29/18,2018,2018
3,3,3,Aalto-1,Aalto-1,Finland,Finland,Aalto University,Civil,Navigation/Technology,NA,LEO,NA,0,497,517,0.00145,97.45,94.7,5,NA,4.5,6/23/17,2,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/23/17,2017,2017
4,4,4,AAUSat-4,AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation/Science,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,0.0177,98.2,95.9,1,NA,NA,4/25/16,NA,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/25/16,2016,2016
5,5,5,"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communication,NA,GEO,NA,75,35778,35793,0.000178,0.08,1436.03,6330,NA,"16,000",2/6/14,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/6/14,2014,2014
6,6,6,ABS-2A,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communication,NA,GEO,NA,-75,35700,35700,0,0,1436.1,1800,NA,NA,6/15/16,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/15/16,2016,2016
7,7,7,ABS-3A,ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communication,NA,GEO,NA,-3,35788,35803,0.000178,0.1,1436,2000,NA,NA,3/2/15,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/2/15,2015,2015
8,8,8,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communication,NA,GEO,NA,75,35780,35793,0.000154,0.01,1436.1,4143,1700,"7,400",3/13/04,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/13/04,2004,2004
9,9,9,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communication,NA,GEO,NA,159,35777,35794,0.000202,0.01,1436.08,2894,1730,"6,800 (EOL)",9/26/99,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/26/99,1999,1999
10,10,10,"ABS-7 (Koreasat 3, Mugungwha 3)",ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communication,NA,GEO,NA,116.18,35780,35791,0.00013,0.01,1436.06,3500,1800,"4,800",9/4/99,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/4/99,1999,1999
